Player,Predicted Points,Position,Team,Play Probability,Opponent Team,Price,At_Home,Season,Gw,FirstName
Oluwasemilogo Adesewo Ibidapo Ajayi,0.97436017,DEF,West Bromwich Albion,1,Chelsea,4.8,FALSE,2021,30,Ajayi
Benjamin Chilwell,0.9708739,DEF,Chelsea,1,West Bromwich Albion,5.8,TRUE,2021,30,Chilwell
Benjamin Mendy,0.96867007,DEF,Manchester City,1,Leicester City,5.9,FALSE,2021,30,Mendy
Liam Cooper,0.96859574,DEF,Leeds,0.25,Sheffield United,4.3,TRUE,2021,30,Cooper
Mohammed Salisu,0.9676075,DEF,Southampton,1,Burnley,4.3,TRUE,2021,30,Salisu
Yerry Mina,0.95740265,DEF,Everton,1,Crystal Palace,5.5,TRUE,2021,30,Mina
Lee Peltier,0.93599856,DEF,West Bromwich Albion,1,Chelsea,4,FALSE,2021,30,Peltier
Pablo MarÃ­,0.9235879,DEF,Arsenal,1,Liverpool,4.4,TRUE,2021,30,MarÃ­
Cedric Soares,0.9235879,DEF,Arsenal,1,Liverpool,4.6,TRUE,2021,30,CÃ©dric
Tyrick Mitchell,0.9170147,DEF,Crystal Palace,0.5,Everton,3.8,FALSE,2021,30,Mitchell
Luke Thomas,0.9079652,DEF,Leicester City,1,Manchester City,4.2,TRUE,2021,30,Thomas
Japhet Tanganga,0.89938116,DEF,Tottenham Hotspur,1,Newcastle United,4.9,FALSE,2021,30,Tanganga
Scott Dann,0.89563346,DEF,Crystal Palace,1,Everton,4.3,FALSE,2021,30,Dann
Rhys Williams,0.8798491,DEF,Liverpool,1,Arsenal,4,FALSE,2021,30,Rhys Williams
Aymeric Laporte,0.84871656,DEF,Manchester City,1,Leicester City,6,FALSE,2021,30,Laporte
Eric Garcia,0.84620035,DEF,Manchester City,1,Leicester City,4.7,FALSE,2021,30,Garcia
Jayden Bogle,0.8430427,DEF,Sheffield United,1,Leeds,4.3,FALSE,2021,30,Bogle
Jamal Lewis,0.7826925,DEF,Newcastle United,1,Tottenham Hotspur,4.2,TRUE,2021,30,Lewis
Ben Davies,0.7761215,DEF,Tottenham Hotspur,1,Newcastle United,4.6,FALSE,2021,30,Davies
Nathaniel Clyne,0.74272746,DEF,Crystal Palace,0.5,Everton,4.5,FALSE,2021,30,Clyne
Daniel Amartey,0.73498756,DEF,Leicester City,1,Manchester City,3.9,TRUE,2021,30,Amartey
Dara O'Shea,0.7018415,DEF,West Bromwich Albion,1,Chelsea,4.2,FALSE,2021,30,O'Shea
Ezgjan Alioski,0.697562,DEF,Leeds,1,Sheffield United,4.3,TRUE,2021,30,Alioski
Phil Jagielka,0.6776195,DEF,Sheffield United,1,Leeds,3.9,FALSE,2021,30,Jagielka
Eric Dier,0.6541394,DEF,Tottenham Hotspur,1,Newcastle United,4.8,FALSE,2021,30,Dier
Kyle Walker,0.5793294,DEF,Manchester City,1,Leicester City,6.1,FALSE,2021,30,Walker
Oleksandr Zinchenko,0.5754267,DEF,Manchester City,1,Leicester City,5.5,FALSE,2021,30,Zinchenko
Erik Pieters,0.46244904,DEF,Burnley,1,Southampton,4.3,FALSE,2021,30,Pieters
Reece James,0.37864327,DEF,Chelsea,1,West Bromwich Albion,5,TRUE,2021,30,James
Nathaniel Phillips,0.3691306,DEF,Liverpool,1,Arsenal,4,FALSE,2021,30,Phillips
Jack Stephens,0.33755305,DEF,Southampton,1,Burnley,4.6,TRUE,2021,30,Stephens
Charlie Taylor,0.3044429,DEF,Burnley,0.5,Southampton,4.4,FALSE,2021,30,Taylor
Ben Johnson,0.25586328,DEF,West Ham United,1,Wolverhampton Wanderers,3.9,FALSE,2021,30,Johnson
Matt Doherty,0.22980943,DEF,Tottenham Hotspur,1,Newcastle United,5.6,FALSE,2021,30,Doherty
